s;l
16;engine.fuel.filter.suction.side.differential.pressure.1
18;engine.extended.range.fuel.pressure
19;engine.extended.range.engine.oil.pressure
20;engine.extended.range.engine.coolant.pressure
21;engine.ecu.temperature.1
22;engine.extended.crankcase.blowby.pressure.1
23;generator.oil.pressure
24;generator.coolant.temperature
27;egr.1.valve.position
28;accelerator.pedal.position.3
29;accelerator.pedal.position.2
30;engine.crankcase.blowby.pressure
31;transmission.range.position
32;transmission.splitter.position
33;clutch.cylinder.position
36;clutch.plates
37;transmission.air.tank.pressure
38;second.fuel.level
39;tire.pressure.check.interval
46;pneumatic.supply.pressure
48;extended.range.barometric.pressure
51;engine.throttle.position
52;engine.intercooler.temperature
53;transmission.synchronizer.clutch.value
54;transmission.synchronizer.brake.value
59;transmission.shift.finger.gear.position
60;transmission.shift.finger.rail.position
64;transmission.2.oil.temperature
69;two.speed.axle.switch
70;parking.brake.switch
72;engine.blower.bypass.valve.position
73;auxiliary.pump.pressure
74;maximum.vehicle.speed.limit
75;steering.axle.temperature
76;axle.lift.air.pressure
77;forward.rear.drive.axle.temperature
78;rear.rear.drive.axle.temperature
79;road.surface.temperature
80;washer.fluid.level
81;engine.particulate.trap.inlet.pressure
82;engine.air.start.pressure
84;wheelbased.vehicle.speed
86;cruise.control.set.speed
87;cruise.control.high.set.limit.speed
88;cruise.control.low.set.limit.speed
90;power.takeoff.oil.temperature
91;accelerator.pedal.position.1
92;engine.percent.load.at.current.speed
93;engine.net.brake.torque
94;engine.fuel.delivery.pressure.1
95;engine.fuel.filter.differential.pressure
96;fuel.level
97;water.in.fuel.indicator
98;engine.oil.level
99;engine.oil.filter.differential.pressure
100;engine.oil.pressure
101;engine.crankcase.pressure
102;engine.intake.manifold.1.pressure
103;engine.turbocharger.1.speed
104;engine.turbocharger.lube.oil.pressure.1
105;engine.intake.manifold.1.temperature
106;engine.air.inlet.pressure
107;engine.air.filter.1.differential.pressure
108;barometric.pressure
109;engine.coolant.pressure
110;engine.coolant.temperature.1
111;engine.coolant.level
112;engine.coolant.filter.differential.pressure
113;engine.governor.droop
114;net.battery.current.1
115;alternator.current.1
116;brake.application.pressure
117;brake.primary.pressure
118;brake.secondary.pressure
119;hydraulic.retarder.pressure
120;hydraulic.retarder.oil.temperature
122;engine.retarder.percent
123;clutch.pressure
124;transmission.oil.level
126;transmission.filter.differential.pressure
127;transmission.oil.pressure
129;engine.injector.metering.rail.2.pressure.1
130;engine.power.specific.fuel.economy
131;engine.exhaust.back.pressure
132;engine.inlet.air.mass.flow.rate
133;engine.average.fuel.rate
135;engine.fuel.delivery.pressure.2
136;auxiliary.vacuum.pressure.reading
137;auxiliary.gage.pressure.reading.1
138;auxiliary.absolute.pressure.reading
141;trailer.tag.or.push.channel.tire.pressure.target
142;drive.channel.tire.pressure.target
143;steer.channel.tire.pressure.target
144;trailer.tag.or.push.channel.tire.pressure
145;drive.channel.tire.pressure
146;steer.channel.tire.pressure
147;engine.average.fuel.economy.1
148;engine.instantaneous.fuel.economy.1
149;engine.mass.flow.rate
152;number.of.ecu.resets
153;engine.high.resolution.crankcase.pressure
156;engine.injector.timing.rail.1.pressure
157;engine.injector.metering.rail.1.pressure
158;keyswitch.battery.potential
159;engine.gas.supply.pressure
160;main.shaft.speed
161;transmission.input.shaft.speed
162;transmission.requested.range
163;transmission.current.range
164;engine.injection.control.pressure
165;compass.bearing
166;engine.rated.power
167;charging.system.potential
168;battery.potential..power.input.1
169;cargo.ambient.temperature
170;cab.interior.temperature
171;ambient.air.temperature
172;engine.air.inlet.temperature
173;engine.exhaust.gas.temperature
174;engine.fuel.temperature.1
175;engine.oil.temperature.1
176;engine.turbocharger.oil.temperature
177;transmission.oil.temperature
178;front.axle.weight
179;rear.axle.weight
180;trailer.weight
181;cargo.weight
182;engine.trip.fuel
183;engine.fuel.rate
184;engine.instantaneous.fuel.economy.2
185;engine.average.fuel.economy.2
186;power.takeoff.speed
187;power.takeoff.set.speed
188;engine.speed.at.idle.point.1
189;engine.rated.speed
190;engine.speed
191;transmission.output.shaft.speed
228;speed.sensor.calibration
229;total.fuel.used.gaseous
230;total.idle.fuel.used.gaseous
231;trip.fuel.gaseous
232;dgps.differential.correction
233;unit.number
234;software.identification
235;engine.total.idle.hours
236;engine.total.idle.fuel.used
237;vehicle.identification.number
238;velocity.vector
241;tire.pressure
242;tire.temperature
244;trip.distance
245;total.vehicle.distance
246;total.vehicle.hours
247;engine.total.hours.of.operation
248;total.power.takeoff.hours
249;engine.total.revolutions
250;engine.total.fuel.used
251;time
252;date
257;cold.restart.of.specific.component
258;warm.restart.of.specific.component
